"","provider_state","Count_shortages","Percentage_shortages"
"1","ME",1099,38.1862404447533
"2","MN",4048,36.5772115297732
"3","WA",2082,33.6294621224358
"4","GA",3596,32.8762113731944
"5","KS",3106,31.4659102421234
"6","ND",770,31.3008130081301
"7","IA",4017,30.4225992123599
"8","WI",3213,29.7527548847115
"9","NH",658,29.140832595217
"10","OR",1139,28.755364806867
"11","MI",3639,27.7934774306882
"12","AL",1857,26.9991276533876
"13","LA",2239,26.6897127190368
"14","OH",7637,26.1156516089321
"15","NE",1542,25.8075313807531
"16","WY",279,25.0224215246637
"17","MO",3935,24.984126984127
"18","NC",3195,24.3614182234083
"19","ID",581,24.2184243434764
"20","RI",573,23.8055670959701
"21","OK",2103,23.2658479920345
"22","TN",2221,23.089718265932
"23","MS",1340,21.8632729645946
"24","AK",129,20.9076175040519
"25","NV",402,19.8420533070089
"26","CO",1250,18.5130331753554
"27","NM",371,17.5330812854442
"28","HI",230,17.3453996983409
"29","AZ",733,16.509009009009
"30","IL",3519,16.230801162308
"31","PA",3342,15.9051970302684
"32","VT",163,15.050784856879
"33","DE",208,14.7517730496454
"34","SD",471,14.6364201367309
"35","MT",307,14.4334743770569
"36","AR",965,14.0506697728596
"37","UT",404,13.657876943881
"38","IN",2086,12.9468718967229
"39","SC",747,12.9373051610669
"40","NY",2437,12.9324984079813
"41","FL",2739,12.7603074772886
"42","VA",1107,12.6110731373889
"43","DC",59,11.0486891385768
"44","MD",760,11.0256782242855
"45","WV",387,10.1548150091839
"46","KY",840,9.62309542902967
"47","TX",1901,5.20137900842727
"48","CT",300,4.6339202965709
"49","NJ",492,4.51293340671436
"50","CA",785,2.16456184856339
"51","MA",197,1.71378860374076
"52","GU",0,0
"53","PR",0,0
