"","provider_state","Count_shortages","Percentage_shortages"
"1","OH",7637,26.1156516089321
"2","MN",4048,36.5772115297732
"3","IA",4017,30.4225992123599
"4","MO",3935,24.984126984127
"5","MI",3639,27.7934774306882
"6","GA",3596,32.8762113731944
"7","IL",3519,16.230801162308
"8","PA",3342,15.9051970302684
"9","WI",3213,29.7527548847115
"10","NC",3195,24.3614182234083
"11","KS",3106,31.4659102421234
"12","FL",2739,12.7603074772886
"13","NY",2437,12.9324984079813
"14","LA",2239,26.6897127190368
"15","TN",2221,23.089718265932
"16","OK",2103,23.2658479920345
"17","IN",2086,12.9468718967229
"18","WA",2082,33.6294621224358
"19","TX",1901,5.20137900842727
"20","AL",1857,26.9991276533876
"21","NE",1542,25.8075313807531
"22","MS",1340,21.8632729645946
"23","CO",1250,18.5130331753554
"24","OR",1139,28.755364806867
"25","VA",1107,12.6110731373889
"26","ME",1099,38.1862404447533
"27","AR",965,14.0506697728596
"28","KY",840,9.62309542902967
"29","CA",785,2.16456184856339
"30","ND",770,31.3008130081301
"31","MD",760,11.0256782242855
"32","SC",747,12.9373051610669
"33","AZ",733,16.509009009009
"34","NH",658,29.140832595217
"35","ID",581,24.2184243434764
"36","RI",573,23.8055670959701
"37","NJ",492,4.51293340671436
"38","SD",471,14.6364201367309
"39","UT",404,13.657876943881
"40","NV",402,19.8420533070089
"41","WV",387,10.1548150091839
"42","NM",371,17.5330812854442
"43","MT",307,14.4334743770569
"44","CT",300,4.6339202965709
"45","WY",279,25.0224215246637
"46","HI",230,17.3453996983409
"47","DE",208,14.7517730496454
"48","MA",197,1.71378860374076
"49","VT",163,15.050784856879
"50","AK",129,20.9076175040519
"51","DC",59,11.0486891385768
"52","GU",0,0
"53","PR",0,0
